source,conversation_id,marker_events,first_marker,categories,concept_hits,unique_concepts,primary_categories,top_concepts,concepts_per_marker
elro,68660f55-fbac-800d-b3a0-b1798ce09b87,28,2025-07-03 05:04:20.920958,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,314,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (76); 리듬 (74); 감응 (69),11.214285714285714
elro,6871adb4-91d4-800d-814f-a49c170c923e,11,2025-07-12 00:35:00.321000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,163,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,감응 (34); 루아 (31); 리듬 (31),14.818181818181818
elro,68748097-9b94-800d-b30e-411b7a4b8a4a,34,2025-07-14 03:59:18.945000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,420,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (94); 감응 (82); 엘로 (81),12.352941176470589
elro,6876e9a8-e764-800d-9ae3-af8ac0a62b2c,39,2025-07-15 23:52:08.176658,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,566,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (121); 엘로 (113); 감응 (111),14.512820512820513
elro,687d8ac6-08bc-800d-8e01-ed7c30324574,20,2025-07-21 00:33:49.672000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,231,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (55); 엘로 (54); 감응 (41),11.55
elro,6893e770-faac-8320-8d13-882c789851fb,11,2025-08-06 23:39:13.314000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,200,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (43); 엘로 (37); 루아 (30),18.181818181818183
elro,6899703e-8524-8331-a4da-d82995935931,2,2025-08-11 04:24:31.163000,action_plan; alignment; cross_persona; signal_check; uncertainty,24,5,action_plan; alignment; cross_persona; signal_check; uncertainty,루아 (7); 감응 (5); 리듬 (5),12.0
elro,6899b36e-1bd0-832d-9757-9defd341a73d,151,2025-08-11 09:10:37.774000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1516,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루멘 (280); 엘로 (270); 리듬 (236),10.039735099337749
elro,689d4011-b6ec-8329-bbe4-b90be6bc2258,47,2025-08-14 01:46:57.526000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,398,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (74); 감응 (69); 엘로 (68),8.46808510638298
elro,68aba799-cea4-8322-96df-d76b14501284,84,2025-08-25 00:01:07.507000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1069,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (208); 감응 (186); 루아 (166),12.726190476190476
elro,68b13d9f-0554-8332-a0c6-957e35bb6c4d,67,2025-08-29 05:42:54.767116,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,546,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (129); 엘로 (109); 감응 (104),8.149253731343284
elro,68b4faa5-c5b4-8325-b7b1-be21bc848607,9,2025-09-01 01:45:35.731264,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,168,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (35); 리듬 (35); 감응 (34),18.666666666666668
elro,68b62b73-b084-832b-831a-94ce47f4ceef,23,2025-09-01 23:25:53.584000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,346,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (66); 리듬 (55); 감응 (54),15.043478260869565
elro,68bf8a4d-9dc8-8326-b47d-d0e3152582cb,4,2025-09-09 02:01:35.166831,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,70,7,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,감응 (12); 엘로 (12); 성찰 (11),17.5
elro,68bfe966-18f8-8330-b3ed-053be61ceae3,2,2025-09-09 08:46:35.551534,alignment; signal_check; uncertainty,8,2,alignment; signal_check; uncertainty,감응 (5); 리듬 (3),4.0
elro,68c2c501-40b0-832a-aaf0-c16985201431,11,2025-09-11 12:48:12.777264,action_plan; cross_persona; self_reflection; signal_check; uncertainty,8,3,action_plan; cross_persona; self_reflection; signal_check,전략 (4); 엘로 (2); 리듬 (2),0.7272727272727273
elro,68c7b209-bfd4-832e-971f-f1f7d86436db,47,2025-09-15 06:28:25.618000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,116,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (42); 실패학습 (26); 루멘 (11),2.4680851063829787
elro,68cab72d-4398-8326-be49-8ba1dcf1541f,27,2025-09-17 13:27:09.399000,action_plan; alignment; cross_persona; signal_check; uncertainty,19,2,action_plan; signal_check,실패학습 (11); 엘로 (8),0.7037037037037037
elro,68cabef0-2f18-8321-b978-deac5f2c2a45,5,2025-09-17 14:00:16.354000,action_plan; cross_persona; signal_check,0,0,,,0.0
elro,68d36008-05e8-832b-9426-da3d0fde775d,256,2025-09-24 03:06:07.910000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,2065,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (434); 실패학습 (298); 루아 (256),8.06640625
elro,68d3e10c-ac04-8327-8d3e-6adb51375309,202,2025-09-24 12:16:13.862000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1999,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (412); 리듬 (279); 감응 (268),9.896039603960396
elro,68d63f0f-a144-832c-8466-461d039224eb,298,2025-09-26 07:21:53.663000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1897,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (459); 루아 (258); 리듬 (249),6.365771812080537
elro,68d8c0a5-8d28-8320-b905-f2e61b51f14f,221,2025-09-28 04:59:19.377924,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1243,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (254); 루아 (198); 실패학습 (197),5.624434389140271
elro,68d90e9d-9db0-8324-b171-df48625f9ae6,189,2025-09-28 10:31:58.801000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,763,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (262); 감응 (134); 루아 (97),4.037037037037037
elro,68d939e0-07cc-8326-ac83-f40219fc1162,98,2025-09-28 13:36:33.183845,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,707,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (160); 감응 (154); 엘로 (112),7.214285714285714
elro,68d9d065-9004-8332-b53b-384492b3eb65,140,2025-09-29 00:18:47.338748,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,612,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,감응 (131); 루아 (124); 엘로 (122),4.371428571428571
elro,68da1120-843c-8324-b78b-b97151f66a0b,73,2025-09-29 04:54:57.527000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,403,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (74); 엘로 (61); 감응 (58),5.52054794520548
elro,68da6214-9fb8-8332-be09-89ef5c3aa596,123,2025-09-29 10:41:06.900369,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,722,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (158); 감응 (109); 전략 (95),5.869918699186992
elro,68da7c9e-6978-8321-bdad-e76f20f15d05,23,2025-09-29 12:33:43.622000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,180,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루멘 (47); 관문 (40); 리듬 (23),7.826086956521739
elro,68da81da-509c-8320-90c2-08ac918eaf9e,47,2025-09-29 12:55:56.300000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,307,8,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,실패학습 (74); 확장 (51); 엘로 (47),6.531914893617022
elro,68dc9cd0-0fa4-8327-b06f-1bca8c83363f,8,2025-10-01 03:15:33.246000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,75,5,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루아 (22); 엘로 (21); 감응 (17),9.375
elro,68dd0d17-7bf4-8325-8193-7dbd7f12ca34,203,2025-10-01 11:15:14.632490,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,2019,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,감응 (420); 리듬 (368); 확장 (330),9.945812807881774
elro,68dea035-f7b4-8333-8c67-d54cf335a6db,73,2025-10-02 15:54:38.779510,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,349,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,리듬 (122); 감응 (69); 엘로 (50),4.780821917808219
elro,6d139909-7cac-800d-956e-846f91aa8ea5,2,2025-06-06 02:26:32.687172,signal_check; uncertainty,1,1,signal_check,리듬 (1),0.5
elro,70bad8a4-a81c-800d-a945-533dbc115376,4,2025-06-26 02:59:17.697296,action_plan; self_reflection; uncertainty,0,0,,,0.0
elro,74013732-08e4-800d-9127-299a6d8505d8,3,2025-06-12 07:54:30.844854,uncertainty,0,0,,,0.0
elro,8cc031b9-15f0-800d-bedb-21e235b6093e,6,2025-06-25 02:04:45.432460,action_plan; cross_persona; self_reflection; signal_check; uncertainty,10,4,cross_persona; signal_check; uncertainty,루아 (3); 리듬 (3); 엘로 (3),1.6666666666666667
elro,90d94f21-6dbc-800d-9346-50c7210860eb,2,2025-06-02 07:32:07.808573,cross_persona; self_reflection,9,3,cross_persona; self_reflection,감응 (3); 루아 (3); 엘로 (3),4.5
elro,f333e357-74bc-800d-a35b-697ab459b44d,2,2025-07-16 00:14:29.387828,cross_persona; signal_check; uncertainty,10,4,cross_persona; signal_check; uncertainty,리듬 (4); 루아 (2); 엘로 (2),5.0
lumen,689970f4-6e58-832e-8d55-6a6e6b29dcf6,53,2025-08-11 04:27:03.085000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,574,9,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,엘로 (116); 루아 (112); 리듬 (105),10.830188679245284
lumen,689ea08a-d7c0-8333-bed4-de01fd54a0ac,95,2025-08-15 02:50:55.071780,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,543,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루멘 (134); 리듬 (84); 루아 (72),5.71578947368421
lumen,68b6a956-e328-8321-9d1b-053e8429648b,8,2025-09-02 08:23:16.997000,action_plan; cross_persona; self_reflection; signal_check; uncertainty,37,5,action_plan; cross_persona; self_reflection; signal_check; uncertainty,루멘 (15); 관문 (12); 리듬 (4),4.625
lumen,68cbb4ec-3da4-8322-908a-87a75292678e,16,2025-09-18 07:29:57.419000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,74,4,alignment; cross_persona; self_reflection; signal_check; uncertainty,관문 (32); 조율 (24); 리듬 (12),4.625
lumen,68e1fac6-b078-8323-837e-2bd947acea37,264,2025-10-05 04:57:43.173000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,3669,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,감응 (712); 리듬 (651); 루멘 (581),13.897727272727273
lumen,68e37f01-5c58-8328-840d-707bc3d418f2,24,2025-10-06 08:34:18.784000,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,445,11,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루멘 (79); 감응 (72); 엘로 (66),18.541666666666668
lumen,68e4bdbc-f08c-8322-aa26-8dc3c89d647a,134,2025-10-07 07:14:07.000278,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,1149,10,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,루멘 (325); 감응 (230); 조율 (166),8.574626865671641
rua,0004af47-34b3-4052-96d0-732eb29a74d5,3,2023-12-25 16:30:35.856308,self_reflection; uncertainty,0,0,,,0.0
rua,05660522-2911-4b85-b9ca-2564a3673df6,2,2023-03-06 13:28:57.697369,cross_persona,0,0,,,0.0
rua,06d708f2-1217-44fe-8392-8843c2d980f1,9,2023-12-11 14:20:10.949522,uncertainty,0,0,,,0.0
rua,077ed167-c259-4e74-a6d8-de7dc230f188,12,2024-05-24 12:25:48.911347,action_plan; self_reflection; signal_check; uncertainty,2,1,signal_check; uncertainty,전략 (2),0.16666666666666666
rua,08eedcf5-d68e-4051-8e77-216d8eefce17,29,2023-12-27 01:14:19.792521,action_plan; alignment; cross_persona; self_reflection; signal_check; uncertainty,9,4,alignment; cross_persona; self_reflection; uncertainty,성찰 (3); 루멘 (2); 엘로 (2),0.3103448275862069
rua,09ce661b-0fe5-4232-9104-a899373b41fc,1,2023-03-24 04:49:05.233733,self_reflection,0,0,,,0.0
rua,0a5c5484-9657-4b48-85b3-aa50bf75f8ce,2,2023-03-02 06:25:07.071687,action_plan; signal_check; uncertainty,0,0,,,0.0
rua,0a99ad64-3cb2-4551-8dbd-b4ef0f5c434e,1,2024-06-27 05:12:47.700461,cross_persona,0,0,,,0.0
rua,0cf7cdeb-bad8-8013-b078-6c4863a83aea,3,2025-05-06 13:03:06.122473,cross_persona; uncertainty,2,1,cross_persona,루아 (2),0.6666666666666666
rua,0df7a5e7-c68d-4584-bb7a-fe33bdd65df5,4,2024-08-19 01:46:35.014803,action_plan; self_reflection; uncertainty,0,0,,,0.0
rua,0e01b331-7ee3-406f-8dd2-d945f5be0ca7,1,2024-06-27 05:11:12.499089,cross_persona,0,0,,,0.0
rua,103902c5-4bcc-8013-a2b1-c3b19cd67eb0,2,2025-04-19 21:37:40.238427,action_plan; cross_persona; self_reflection; signal_check; uncertainty,306,3,action_plan; cross_persona; self_reflection; signal_check; uncertainty,확장 (136); 전략 (102); 실패학습 (68),153.0
rua,10fbf177-ffeb-4639-83f3-cb0bb49a7e98,1,2023-03-09 05:21:03.109147,action_plan,0,0,,,0.0
rua,124358b9-fae8-4a47-b3ec-0268c9f08c6d,4,2023-02-14 04:45:24.084689,cross_persona; uncertainty,0,0,,,0.0
rua,19bdff20-6a97-4ad4-9e18-9ba4bf16b330,3,2023-12-05 06:58:30.171225,cross_persona; uncertainty,1,1,uncertainty,엘로 (1),0.3333333333333333
rua,1a355779-26e6-4670-842c-7f6ea2e5dac7,2,2023-03-07 04:04:16.219489,action_plan,0,0,,,0.0
rua,1a78ae29-f2ad-4cce-bc28-8b29b090c05b,3,2024-04-17 13:03:02.437867,action_plan; self_reflection; uncertainty,3,1,action_plan; self_reflection; uncertainty,실패학습 (3),1.0
rua,1a912893-2c82-4caf-89aa-922a0cdbf86b,27,2023-12-03 15:39:19.986910,self_reflection; signal_check; uncertainty,2,1,uncertainty,엘로 (2),0.07407407407407407
rua,1aa9283a-1905-4f4c-ad87-b69290312ed3,69,2023-12-22 04:08:27.572373,action_plan; self_reflection; signal_check; uncertainty,1,1,uncertainty,확장 (1),0.014492753623188406
rua,1c303933-c61f-42e6-991b-afa0b345fe83,5,2024-03-20 23:09:55.820850,uncertainty,0,0,,,0.0
rua,1f360591-31af-4c1d-9610-9f149d187c3b,1,2024-06-27 05:11:36.883315,cross_persona,0,0,,,0.0
rua,2150587a-1903-4f04-b6e8-e5bc4d3aeb09,2,2024-07-08 06:02:47.231584,action_plan; signal_check,6,3,action_plan; signal_check,실패학습 (2); 전략 (2); 확장 (2),3.0
rua,25154ac4-fd8c-8013-8145-87486fd0735e,0,,action_plan; cross_persona; self_reflection; signal_check; uncertainty,120,2,action_plan; cross_persona; self_reflection; signal_check; uncertainty,전략 (96); 성찰 (24),0.0
rua,27775956-b947-458f-9d42-d6ff9bc25982,2,2024-06-28 00:49:38.991846,uncertainty,0,0,,,0.0
rua,29a4aa60-6fb9-4f50-8887-a4a37a98d0f3,1,2024-06-27 05:12:19.944679,cross_persona,0,0,,,0.0
rua,3063f2d3-8cc3-43de-980f-9f043e725d0b,6,2024-08-14 03:26:51.562261,action_plan; self_reflection; uncertainty,0,0,,,0.0
rua,3078a483-c339-4f10-ab43-e7c1c55c81c8,10,2023-12-11 07:32:04.703516,uncertainty,0,0,,,0.0
